dg_raceid,dg_course,date_time,going
,Bad Doberan,2011-08-06 14:30:00,Boden: weich
,Baden-Baden,2018-10-21 13:50:00,Boden: gut
,Bad Harzburg,2016-07-31 14:45:00,Boden: gut
,Billigheim,2002-09-15 12:40:00,Boden: gut
1187958,Billigheim,2002-09-15 13:00:00,Boden: gut
,Billigheim,2022-09-18 13:00:00,Boden: gut
,Blieskastel,2003-07-13 14:00:00,Boden: 
,Blieskastel,2003-07-13 15:30:00,Boden: 
,Blieskastel,2003-07-13 16:30:00,Boden: 
,Blieskastel,2003-07-13 17:00:00,Boden: 
,Blieskastel,2003-07-13 18:00:00,Boden: 
,Blieskastel,2003-07-13 18:30:00,Boden: 
,Bremen,2005-10-30 12:30:00,Boden: gut
,Bremen,2005-10-30 14:00:00,Boden: gut
,Bremen,2005-10-30 15:00:00,Boden: gut
,Dortmund,2003-10-04 13:30:00,Boden: weich
,Dortmund,2003-10-04 14:00:00,Boden: weich
,Dortmund,2003-10-04 14:30:00,Boden: weich
,Dortmund,2003-10-04 15:35:00,Boden: weich
,Dortmund,2003-10-04 16:45:00,Boden: weich
,Dortmund,2003-10-04 17:15:00,Boden: weich
,Dortmund,2003-10-04 17:45:00,Boden: weich
,Dortmund,2014-10-07 17:10:00,Boden: Sand (nass)
,Dortmund,2014-10-07 17:40:00,Boden: Sand (nass)
,Dresden,2011-09-04 15:40:00,Boden: gut
,Düsseldorf,2009-08-02 15:00:00,Boden: weich
,Garrel,2002-07-07 16:20:00,Boden: gut
,Gotha,2003-08-31 13:30:00,Boden: fest
,Gotha,2003-08-31 14:30:00,Boden: fest
,Gotha,2003-08-31 15:00:00,Boden: fest
,Gotha,2003-08-31 15:30:00,Boden: fest
,Gotha,2003-08-31 16:00:00,Boden: fest
,Hamburg,2003-07-05 14:00:00,Boden: weich
1252608,Hannover,2011-08-21 14:30:00,Boden: gut
1200510,Hassloch,2004-04-11 15:05:00,Boden: gut
1208949,Hassloch,2005-06-19 17:35:00,Boden: gut
1208943,Hassloch,2005-06-19 18:40:00,Boden: gut
1309657,Honzrath,2019-10-06 14:30:00,Boden: Sand (nass)
1309662,Honzrath,2019-10-06 15:00:00,Boden: Sand (nass)
1309661,Honzrath,2019-10-06 15:30:00,Boden: Sand (nass)
1224627,Köln,2007-04-01 14:00:00,Boden: weich
1271996,Krefeld,2014-06-04 18:30:00,Boden: gut
1194253,Mannheim,2003-08-30 16:00:00,Boden: gut
1187500,München,2002-04-07 15:50:00,Boden: gut
1264860,München,2013-09-15 16:35:00,Boden: weich
1271476,München,2014-09-14 17:20:00,Boden: weich
1271474,München,2014-09-14 17:50:00,Boden: weich
1270249,Neuss,2014-03-19 18:00:00,Boden: Sand (feucht)
1189217,Saarbrücken,2002-05-19 16:15:00,Boden: gut
1215939,Verden,2006-06-11 15:45:00,Boden: gut
1215942,Verden,2006-06-11 17:20:00,Boden: gut
1215936,Verden,2006-06-11 17:50:00,Boden: gut
1203905,Neuss,2004-08-06 20:00:00,Boden: Sand
1203910,Neuss,2004-08-06 20:30:00,Boden: Sand
1203909,Neuss,2004-08-06 21:00:00,Boden: Sand
1208766,Neuss,2005-08-05 18:00:00,Boden: Sand
1208767,Neuss,2005-08-05 18:30:00,Boden: Sand
1208765,Neuss,2005-08-05 19:00:00,Boden: Sand
1208769,Neuss,2005-08-05 19:30:00,Boden: Sand
1208770,Neuss,2005-08-05 20:00:00,Boden: Sand
1208768,Neuss,2005-08-05 20:30:00,Boden: Sand
1208771,Neuss,2005-08-05 21:00:00,Boden: Sand