dg_raceid,gr_course,date_time,race_time_secs
1240334,Bad Doberan,2009-08-01 18:00:00,171
1248470,Baden-Baden,2010-09-03 17:50:00,102
1292311,Baden-Baden,2017-05-28 15:50:00,136
1310367,Berlin-Hoppegarten,2019-08-11 14:30:00,143
1310362,Berlin-Hoppegarten,2019-08-11 15:05:00,112
1330240,Berlin-Hoppegarten,2021-10-31 12:30:00,72
1310392,Berlin-Hoppegarten,2019-10-13 12:55:00,146
1241608,Bremen,2009-05-15 17:00:00,NA
1271906,Bremen,2014-05-05 20:25:00,102
1277566,Bremen,2015-06-21 17:50:00,147
1285513,Bremen,2016-03-25 17:30:00,195
1281670,Dortmund,2015-10-05 19:55:00,181
1310446,Dortmund,2019-09-15 13:30:00,98
1318413,Dortmund,2020-09-20 17:15:00,132
1320157,Dresden,2020-06-13 16:00:00,85
1266210,Frankfurt,2013-09-28 15:30:00,136
1241912,Gotha,2009-09-26 14:15:00,134
1252940,Hamburg,2011-06-26 17:50:00,153
1291830,Hamburg,2017-07-02 12:00:00,153
1276975,Hannover,2015-05-25 14:20:00,144
1301003,Hannover,2018-04-02 18:00:00,121
1309497,Hannover,2019-04-22 14:45:00,75
1309515,Hannover,2019-05-01 15:05:00,123
1309509,Hannover,2019-05-01 15:40:00,126
1309579,Hannover,2019-10-27 11:45:00,108
1329561,Hannover,2021-09-10 18:00:00,144.18
1247121,Hassloch,2010-05-13 14:20:00,NA
1247126,Hassloch,2010-05-13 14:50:00,NA
1301381,Hassloch,2018-05-10 16:55:00,98
1270887,Köln,2014-05-04 14:00:00,NA
1309185,Köln,2019-04-22 15:05:00,114
1260618,Leipzig,2012-09-22 16:30:00,99
1310489,Leipzig,2019-05-01 14:10:00,98
1253554,Magdeburg,2011-04-16 16:00:00,128
1285625,Magdeburg,2016-05-22 14:05:00,129
1246636,Mannheim,2010-04-25 15:40:00,NA
1309591,Mannheim,2019-04-28 15:50:00,89
1292683,Miesau,2017-08-27 15:30:00,NA
1330607,München,2021-09-12 17:40:00,97.03
1329726,München,2021-09-12 16:00:00,142
1341220,München,2023-06-11 12:20:00,148
1247818,Neuss,2010-03-14 15:30:00,134
1258121,Neuss,2012-01-15 14:00:00,71
1311997,Rastede,2019-06-16 17:20:00,135
1259803,Saarbrücken,2012-04-09 18:30:00,82
1291898,Saarbrücken,2017-04-17 15:50:00,116
1328390,Saarbrücken,2021-08-15 15:00:00,114
1333787,Saarbrücken,2022-04-17 15:00:00,116
1291934,Zweibrücken,2017-04-23 15:15:00,154
1329528,Zweibrücken,2021-09-11 16:15:00,153.15